job_title,tujuan,degree,major,pengalaman,bahasa,kemampuan,peran/tanggung_jawab
Equipment Maintenance Staff,"Ensure that the management of materials and spare parts in the warehouse is carried out correctly in accordance with company regulations.","Bachelor's Degree","Civil / Mechanical Engineering","Fresh Graduate / Experience in the Equipment Field","Active English","IT Skills; Oral and Written English Skills; Company Product Knowledge; Understanding Company Business Processes; Knowledge of Types of Spare Parts/Materials and Their Allocations; Strong Communication and Interpersonal Skills","Compile data on the quantity, condition, and maintenance/repair costs of the fleet; present equipment tools availability data; and create summaries of equipment procurement needs; Process repair requests from branches or Asphalt Terminals (TAC); process inventory stock procurement needs; and ensure spare parts and other materials are received accurately by the user; Coordinate with branches so that fleet, tool, fuel stock, and repair cost reports are received accurately and on time; follow up on branch submissions; and verify technical asset revitalization plans and TAC supporting facilities; Draft design specifications (bestek) and estimate resource requirements for revitalization projects; monitor repair progress to ensure completion according to schedule; and coordinate with consultants and field supervisors so construction aligns with planning; Cross-reference company policies, guidelines, systems, and SOPs to support operations; implement procedures and SOPs in operational activities; summarize policy and system improvement proposals; and study hazard identification and preventative actions in the workplace."
Cashflow Management Staff,"Ensure that cash disbursements are executed accurately and in accordance with existing procedures to support corporate operational activities.","Bachelor's Degree","Accounting/Management","Fresh Graduate / Experience in the Finance Field","Active English","Computer Skills; Understanding Business Processes; Sound Knowledge of Cash Recording; Data Processing Knowledge; Ability to Analyze and Explain Data; Oral and Written English Skills","Manage corporate cash according to applicable procedures; receive and store cash, Bank Guarantees (BG), and cheques; and disburse operational cash after obtaining management approval; Act as a maker on internet banking systems, issue checks or giros, and perform bank clearing; record cash receipt and payment transactions based on transaction dates; and ensure timely payment activities; Receive and verify paying voucher submission notes before handing them over to the Accounting team; ensure petty cash disbursements are accompanied by complete invoices and payment receipts; and verify all payment proofs are signed prior to processing; Execute bill payments according to due dates; store cash, transfer, and clearing payment vouchers securely as part of corporate cash accountability; and coordinate with the finance department regarding cash replenishments; Conduct monthly cash counts (cash opname) alongside the Finance and Internal Audit teams; study hazard identification within the work scope; and take preventative actions to avoid workplace risks to support company operations."
Sales Administration Staff,"Ensure the availability of accurate package data and complete sales documents to facilitate smooth operations in bulk asphalt sales.","Bachelor's Degree","All Majors","Fresh Graduate / 1 Year Experience in the Marketing Field","Active English","Computer Skills; Company Product Knowledge; Understanding Company Business Processes; Marketing Knowledge; Strong Communication and Interpersonal Skills; Meticulousness and Attention to Detail","Ensure asphalt sales processes run according to company procedures; maintain a clear customer database; and prepare partnership contracts and supporting documentation for bulk asphalt sales completely; Generate delivery order forms based on customer requests to ensure delivery timing and quantities; convey information to the TAC regarding tank truck loading for distribution; and ensure smooth shipping processes; Record asphalt sales and coordinate with the finance department to prepare customer payment billing documents; provide customers with information regarding asphalt price changes; and ensure sales administration processes run smoothly; Compile sales activity reports, asphalt stock reports, and monthly sales reports; request invoice issuance from the Head Office Accounting Manager; and print, distribute, and archive asphalt transaction documents neatly and securely; Coordinate with the finance department regarding customer accounts receivable; ensure work execution complies with QHSE/K3 standards; study hazard identification within the work scope; and take preventative measures against workplace risks according to company procedures."
Business Development Staff,"Ensure the availability of Market Data, Economic Data, and other issues related to company business development, and ensure the processing of Kalla Aspal Market Data & Information to support Kalla Aspal business unit growth within specific periods based on planned analysis recommendations.","Bachelor's Degree","Civil / Industrial Engineering","1 Year","Active English","Innovation; Facilitating Change; Industry Acumen; Financial Analysis; Decision Making; Planning & Organizing; Ability to Operate Microsoft Office and AutoCAD","Analyze research data and identify new business potentials at Kalla Aspal; gather internal data such as market share, competitor data, and customer profiles; and utilize external data related to technological and business developments within Kalla Construction; Ensure the availability of market data, economic data, and strategic issues regarding corporate business growth; process Kalla Aspal market data and information; and compile analysis recommendations to support business unit enhancements; Formulate plans to optimize non-production assets to generate additional sources of income outside the core business; prepare cost estimates (RAB) related to business development; and support sustainable business growth; Draft business development concepts; sketch or design requirements related to business expansion areas; and support the implementation of business growth strategies; Plan, direct, monitor, and control the implementation of SHE (Safety, Health, and Environment) within the Business Development Department; ensure work activities are safe; and support corporate safety and environmental standards."
Marketing Region Analyst,"Ensure the availability of complete and accurate data regarding sales and operational management within a region to support the achievement of corporate targets.","Bachelor's Degree","All Majors","Fresh Graduate / Experience in Marketing or Sales","Active English","IT Skills; Oral and Written English Skills; Company Product Knowledge; Understanding Company Business Processes; Understanding of Business Processes in Similar Industries; Knowledge of Market and Economic Conditions; Strong Communication and Interpersonal Skills","Ensure the availability of complete and accurate sales and operational management data to support corporate target achievements; monitor asphalt sales at every branch; and ensure sales targets are met; Verify and submit branch asphalt selling price requests to superiors; provide monthly asphalt selling price updates; and ensure the asphalt sales process has complete documentation; Coordinate with branches to ensure asphalt sales reports are received on time; collect sales and receivable clearance reports from all branches; and generate daily sales reports and branch sales progress analyses; Review and verify branch fund requests and correspondence; communicate branch operational activities to superiors orally and in writing; and ensure branch operations comply with company rules; Study and identify potential hazards within the work scope; take preventative measures against risks in the work environment; and ensure operational activities run safely and according to applicable procedures."
Sales Staff,"Ensure the availability of accurate data and complete sales documents to facilitate smooth operations in bulk asphalt sales.","Bachelor's Degree","All Majors","Fresh Graduate / Experience in the Sales Field","Active English","IT Skills; Company Product Knowledge; Understanding Company Business Processes; Knowledge of Using Asphalt for Hotmix; Marketing Knowledge; Strong Communication and Interpersonal Skills","Ensure asphalt sales processes run according to company procedures; send bidding proposals to contractors; and ensure the completeness of sales data and documents to support smooth bulk asphalt sales; Convey information to the TAC for tank truck loading follow-up and distribution to customers; execute asphalt sales; and coordinate with the finance department to prepare customer payment billing documents; Provide customers with info regarding asphalt price updates; ensure customer payment processes run smoothly and on time; and remind customers of applicable payment deadlines; Conduct collection of receivables and guarantees from customers; coordinate with the finance department regarding unpaid receivables; and compile competitor activities regarding asphalt sales for company evaluation; Ensure work execution complies with QHSE/K3 standards; study hazard identification within the work scope; and take preventative measures against workplace risks according to company procedures."
Training & Development Junior Analyst,"Execute all ongoing competency development and career development programs.","Bachelor's Degree","HR Management / Psychology / Business","Fresh Graduate / 2 Years Experience in the HR Management Field","Active English","Ability to Operate Microsoft Office; Operate Microsoft Excel; Operate Microsoft Word; Organization Development; Career Development Training; Training Development Program; Understanding Company Business Processes; Training of Trainers (TOT)","Execute competency development and career development programs according to company needs; facilitate Development Programs for successors from Technical Leaders up to Operational Leaders; and ensure program effectiveness; Implement established Project Development Programs; construct a Hard Competency dictionary for Staff up to Operational Leader levels; and support employee competency enhancement; Formulate career paths for job levels from Staff up to Operational Leaders; ensure all employees possess and realize Individual Development Programs (IDP) within the current year; and support employee career growth; Draft syllabi and facilitate internal as well as external training execution based on company needs; draft and facilitate successor development programs; and enhance corporate human resource quality; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure all employee development activities run safely and according to company procedures."
Budget Control Analyst,"Ensure the availability of budget for company operational costs in accordance with the annual budget that has been established.","Bachelor's Degree","Accounting/Management","Fresh Graduate","Active English","Budgeting; Ability to Operate Microsoft Excel; Understanding Basic Principles of Accounting; Knowledge of Accounting and Financial Data Processing; Understanding Business Processes","Ensure budget availability for corporate operational costs according to the established annual budget; ensure budget availability for each work unit and department every month; and support smooth company operations; Ensure operational expense spending aligns with the budget and approvals of relevant departments; receive budget transfer requests from branches or departments; and ensure budget sources are available before submitting to the holding company; Receive budget submissions from branches and departments; aggregate submissions into the corporate budget (BSU); and ensure the budget formulation process runs according to company needs; Perform budget revisions based on company requirements; distribute comparisons between actual budget and realization for each department; and monitor corporate budget usage; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure budget management activities run according to company procedures."
Driver,"Ensure customers experience comfort in driving to carry out operational activities.","Senior High School / Vocational School / Equivalent","All Majors","Experience as a Driver / Car Driving","Indonesia","Company Product Knowledge; Ability to Drive Cars and Possess a Valid Driver's License (SIM A); Ability to Maintain Cars; Knowledge of Traffic Signs; Geographic/Location Knowledge; Driving Skills; Driver","Check engine conditions before usage; report damages to superiors; and ensure vehicles are ready for company operational activities; Conduct employee and company guest transportation according to applicable procedures; ensure pick-up and drop-off activities are punctual; and support smooth company operations; Drive vehicles carefully and obey traffic rules; ensure customers or passengers feel safe and comfortable during the trip; and protect the vehicle from criminal actions; Maintain vehicle cleanliness regularly; perform vehicle maintenance according to company recommendations; and ensure vehicle conditions remain safe and roadworthy; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure customer comfort and safety during operational activities."
Tanker Truck Driver,"Ensure that asphalt order delivery activities to customers are fulfilled on time.","Junior High School / Senior High School / Vocational School","All Majors","Experience as a Driver","Active Indonesia","Ability to Drive Trucks; Possess a Valid Heavy Vehicle License (SIM B2 Umum); Ability to Understand Traffic Signs; Understanding of Geographical Coverage; Tyre Changer Skills","Ensure asphalt order delivery activities to customers are carried out punctually according to schedule; check vehicle engine conditions; and coordinate with the Bitumen Delivery Supervisor or Balance & Boiler Operator before delivery; Inspect storage tanks to ensure asphalt quantities match customer orders; perform asphalt delivery using the prepared vehicle; and ensure the distribution process is executed within the specified time limits; Monitor asphalt conditions inside the tank during delivery; perform heating if necessary so asphalt temperature remains up to standard; and ensure asphalt cargo is unloaded according to customer orders; Execute asphalt loading and unloading processes according to safety standards using full PPE; ensure customers sign DOs or BAPS upon asphalt reception; and ensure delivery administration runs properly; Return the vehicle to the bulk asphalt terminal after delivery processes are completed; ensure fleet cleanliness is maintained; study hazard identification within the work scope; and take preventative measures against workplace risks."
Aspal Emulsi Operator,"Execute the asphalt emulsion production process in accordance with applicable SOPs while maintaining cleanliness and maintenance of production machinery.","Senior High School / Vocational School / Equivalent","All Majors","Fresh Graduate","Indonesia","Ability to Operate Microsoft Office; Operate Microsoft Excel; Operate Microsoft Word; High Resilience; Minimum Understanding of Mechanical and Electrical Systems; Understanding Company Business Processes","Execute Asphalt Emulsion production processes according to company SOPs; load liquid asphalt from storage tanks into the transport fleet; and transfer liquid asphalt into holding pits to be heated prior to production; Mix Asphalt Emulsion raw materials into production machinery according to specified formulations; execute fabrication or blending processes of liquid asphalt with raw materials based on percentages; and deposit production output into provided drums or storage tanks; Mobilize Asphalt Emulsion stocks out of warehouses or storage tanks into the transport fleet; ensure drum lids and seals are properly fitted to prevent spills; and perform drum branding using spray paint; Inspect the condition of Asphalt Emulsion production machinery regularly; coordinate with the Emulsion Operator Supervisor if machinery breakdowns or production obstacles occur; record raw material usage for each production run; and ensure production quality is maintained; Maintain cleanliness of the Asphalt Emulsion production room and environment; place hazardous waste (B3) in designated locations; use PPE during production processes; study hazard identification; and take preventative measures against workplace risks."
Balance & Boiler Operator,"Ensure the accuracy of bulk asphalt loading quantities into tank trucks according to the data in the Marketing Delivery Order; Ensure the boiler engine operates optimally so that asphalt quality is maintained.","Senior High School / Vocational School / Equivalent","All Majors","Experience in the Mechanical Field","Active English","IT Skills; Understanding Company Business Processes; Weighing Processes; Material/Equipment Characteristics; Occupational Health and Safety","Ensure the accuracy of bulk asphalt loading into tank trucks according to the Marketing Delivery Order; perform loading preparations based on schedules; and arrange tank truck queues at the loading arm position accurately; Operate loading pumps to avoid spills or cargo loss; execute weighing activities according to safety procedures and using PPE; and print weight data as a basis for security checks; Generate bulk asphalt loading reports (Berita Acara) and daily asphalt disbursement reports; perform regular sounding of asphalt stock volumes in tanks; and compile stock position reports based on measurement results and disbursement records; Execute fueling and operate the boiler engine according to procedures; ensure asphalt heating matches standards; inspect fuel pumps, oil circulation engines, pumps, dynamos, pulley ropes, and loading arms; and coordinate with mechanics and leadership if major breakdowns or constraints are found; Conduct cleaning activities around the weighing scale environment and work area; meet regular scale calibration schedules; submit operational procedure improvement proposals; study hazard identification; and take preventative measures to keep work safety and asphalt quality optimal."
Cashier Branch Office,"Ensure that cash receipts and disbursements are executed accurately and in accordance with existing procedures to support branch and bulk asphalt terminal operations.","Bachelor's Degree","Accounting / Financial Management","Fresh Graduate","Active English","IT Skills; Company Product Knowledge; Understanding Company Business Processes; Sound Knowledge of Cash Recording; Financial Management Knowledge; Cashier Skills","Ensure cash receipts and disbursements are executed accurately according to company procedures; receive and secure cash, BGs, and checks from the Head Office; and perform operational fund withdrawals for the branch and terminal; Record cash, BG, and check receipt and disbursement transactions based on transaction dates; generate customer receivable receipts; and input paid invoices into the Oracle system; Execute bill payments according to due dates; ensure payment proofs are signed and align with procurement documents; and check billed expense amounts to ensure they match the payments made; Perform clearing for customer checks or BGs; conduct regular physical counts of petty cash and operational cash; submit fund requests for invoice payments and petty cash replenishments; and maintain a customer guarantee database; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure operational cash management runs safely and according to company procedures."
Mechanical Electrical Engineer,"Perform maintenance and repair activities for all equipment, truck fleets, and operational vehicles so they can function optimally.","Vocational School / All Majors","Mechanical / Electrical","Fresh Graduate / Experience in the Electrical Field","Active English","Computer Skills; Understanding Company Business Processes; Mechanical and Electrical Skills; Vehicle Spare Parts Knowledge; Ability to Analyze Damage Types; Vehicle Maintenance Knowledge","Receive damage order lists from the Technical Service Supervisor; inspect equipment and vehicle conditions for alignment; and coordinate with fleet drivers to understand truck damage details; Perform maintenance and repairs on truck fleets according to order lists, such as changing oil and spare parts; repair operational vehicles, pipe installations, asphalt pumps, dynamos, compressors, heaters, generators, and TAC electrical systems; and ensure all equipment functions optimally; Modify vehicle tanks according to specified designs; complete maintenance and repair activities within time limits; and report major damages or extra equipment needs to the Technical Service Supervisor; Maintain and store work tools properly after usage; maintain work area and maintenance equipment cleanliness; and place hazardous waste (B3) in designated areas according to company procedures; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure maintenance and repair activities run safely and according to operational standards."
Office Boy,"Ensure the office environment is kept safe, neat, and clean; Provide assistance/support to facilitate smooth performance of company employees. ","Senior High School","All Majors"," ","Indonesia","Office Tools; Office Furniture; Cleaning; Support","Ensure the office environment remains safe, neat, and clean; provide assistance and support for smooth employee work activities; and maintain the comfort of the company's work environment; Clean and dust tables, chairs, computers, carpets, floors, office windows, and other office equipment; perform regular cleanliness checks; and ensure the work area is always kept immaculate; Provide food and drinks for company guests, meetings, gatherings, and training sessions; serve corporate consumption needs; and clear employee dining and drinking utensils after use; Dispose of trash within the work area and assigned zones; water and care for plants; handle photocopying and fax requests; and coordinate with the security department to keep the office environment secure; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure operational cleanliness activities run according to company procedures."
Security TAC,"Ensure the security of the bulk asphalt terminal environment and the comfort of employees at the worksite during company activities.","Senior High School / Vocational School / Equivalent","All Majors","1 Year Experience as a Security Guard","Active English","Possess a Gada Pratama Security Certification; Knowledge of Hazard Prevention and Countermeasure Procedures; Understanding of Goods Entry and Exit Procedures at Project Sites","Open and close gates and direct guests to their destinations; ensure guests fill out the guest book; and maintain orderly access control at the bulk asphalt terminal area; Generate reports and maintain security around the bulk asphalt terminal; protect the security of corporate inventory, equipment, and machinery outside of working hours; and ensure the work environment remains safe and conducive; Conduct regular controls and inspections within the work environment; prevent theft, fire, and other security disruptions; and observe activities that have the potential to cause hazards; Inspect cargo transportation documents such as BAPS for vehicles entering and leaving the TAC; sign asphalt handover reports; and record vehicle activities in the company logbook; Take preventative measures against hazards in the work environment; follow up on incidents with competent authorities; study hazard identification within the work scope; and ensure employee safety and comfort during company activities."
